[10/11/21 - 15:49:48] ERROR: Unable to read the file: C:\Users\r.giner\2021_gp_2025scripting_system\Engine/resources/obj/sphere.mtl
[10/11/21 - 15:49:48] ERROR: Cannot find the uniform named: viewProj - There is no uniform named like that
[10/11/21 - 15:49:48] ERROR: Cannot find the uniform named: viewOrtho - There is no uniform named like that
[10/11/21 - 15:49:48] ERROR: Cannot find the uniform named: model - There is no uniform named like that
[10/11/21 - 15:49:48] ERROR: Cannot find the uniform named: color - There is no uniform named like that
[10/11/21 - 15:49:48] ERROR: Cannot find the uniform named: tilling - There is no uniform named like that
[10/11/21 - 15:49:48] ERROR: Cannot find the uniform named: diffuseTex - There is no uniform named like that
[10/11/21 - 15:49:48] ERROR: Cannot find the uniform named: model - There is no uniform named like that
[10/11/21 - 15:49:48] ERROR: Cannot find the uniform named: color - There is no uniform named like that
[10/11/21 - 15:49:48] ERROR: Cannot find the uniform named: tilling - There is no uniform named like that
[10/11/21 - 15:49:48] ERROR: Cannot find the uniform named: diffuseTex - There is no uniform named like that
[10/11/21 - 15:49:49] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:50] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:50] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:50] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:50] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:50] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:50] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:50] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:50] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:50] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:50] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:50] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:51] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:51] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:51] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:51] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:51] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:51] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:51] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:51] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:51] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:51] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:51] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:51] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:51] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:51] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:51] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:51] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:51] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:51] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:51] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:51] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:51] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:51] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:51] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:52] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:52] ERROR: Button Edit Toggle does not exist
[10/11/21 - 15:49:52] ERROR: Button Edit Toggle does not exist
